#   Y
#   A
# 5 | [O01][O02][O03][O04][Sr1] [Sr1][O05][O06][O07][O08]
# 4 |           [Rt1]                     [Rt2]
# 3 |
# 2 |           [Rt3]                     [Rt4]
# 1 | [O09][O10][O11][O12][   ] [   ][O15][O16][O17][O18]
# --+--------------------------------------------------------------------> X
#   |   0    1    2    3    4     5    6    7    8    9
#
# int   int             int     int
# Zones Contiguities    Tasks   DataFlows
  22    73              54      53
# Zones
#(string)(int) (int) (int)
# Label X Y Z
    1   0 5 0
    2   1 5 0
    3   2 5 0
    4   3 5 0
#
    5   6 5 0
    6   7 5 0
    7   8 5 0
    8   9 5 0
#
    9   0 1 0
    10  1 1 0
    11  2 1 0
    12  3 1 0
#
    15  6 1 0
    16  7 1 0
    17  8 1 0
    18  9 1 0
#
    20  2 4 0
    21  7 4 0
    22  2 2 0
    23  7 2 0
#
    30  4 5 0
    31  5 5 0
#
# Contiguities (1.0 is default value if not specified).
# int   int     int     int
# Zone1 Zone2   Channel Conductance
#############################
# Office 1 to Router 1
    1 20 1  0.45
    1 20 2  0.58
    1 20 3  0.97
# Office 2 to Router 1
    2 20 1  0.76
    2 20 2  0.34
    2 20 3  0.93
# Office 3 to Router 1
    3 20 1  0.56
    3 20 2  0.97
    3 20 3  0.67
# Office 4 to Router 1
    4 20 1  0.66
    4 20 2  0.45
    4 20 3  0.89
#############################
# Office 5 to Router 2
    5 21 1  0.87
    5 21 2  0.74
    5 21 3  0.31
# Office 6 to Router 2
    6 21 1  0.83
    6 21 2  0.59
    6 21 3  0.23
# Office 7 to Router 2
    7 21 1  0.70
    7 21 2  0.67
    7 21 3  0.50
# Office 8 to Router 2
    8 21 1  0.58
    8 21 2  0.56
    8 21 3  0.49
#############################
# Office 9 to Router 3
    9  22 1  0.23
    9  22 2  0.87
    9  22 3  0.56
# Office 10 to Router 3
    10 22 1  0.56
    10 22 2  0.45
    10 22 3  0.36
# Office 11 to Router 3
    11 22 1  0.45
    11 22 2  0.57
    11 22 3  0.73
# Office 12 to Router 3
    12 22 1  0.23
    12 22 2  0.54
    12 22 3  0.43
#############################
# Office 15 to Router 4
    15 23 1  0.45
    15 23 2  0.57
    15 23 3  0.63
# Office 16 to Router 4
    16 23 1  0.85
    16 23 2  0.46
    16 23 3  0.53
# Office 17 to Router 4
    17 23 1  0.85
    17 23 2  0.57
    17 23 3  0.33
# Office 18 to Router 4
    18 23 1  0.85
    18 23 2  0.57
    18 23 3  0.33
#############################
# Router 1 to Server 1
    20 30 1  0.64
    20 30 2  0.12
    20 30 3  0.84
    20 30 4  0.69
    20 30 5  0.95
# Router 2 to Server 2
    21 31 1  0.85
    21 31 2  0.47
    21 31 3  0.79
    21 31 4  0.37
    21 31 5  0.77
# Router 3 to Server 1
    22 30 1  0.29
    22 30 2  0.57
    22 30 3  0.76
    22 30 4  0.40
    22 30 5  0.94
# Router 4 to Server 2
    23 31 1  0.97
    23 31 2  0.54
    23 31 3  0.34
    23 31 4  0.23
    23 31 5  0.78
#############################
# Server 1 to Server 2
    30 31 1  0.07
    30 31 2  0.12
    30 31 3  0.22
    30 31 4  0.75
    30 31 5  1.00
#############################
# Tasks
;   str    int  int    int
;   Label Size Zone Mobile
    O1T1    95    1      0
    O1T2    88    1      0
    O1T3    89    1      0
    O2T1    88    2      0
    O2T2    99    2      0
    O2T3    85    2      0
    O3T1    93    3      0
    O3T2    93    3      0
